Date,Close,Volume,Open,High,Low
01/02/2026,$226.23,36874346,$231.00,$235.46,$224.70
12/31/2025,$230.82,24383700,$232.91,$232.99,$230.12
12/30/2025,$232.53,21910500,$231.21,$232.77,$230.20
12/29/2025,$232.07,19797900,$231.94,$232.60,$230.77
12/26/2025,$232.52,15994700,$232.04,$232.99,$231.18
12/24/2025,$232.38,11420500,$232.13,$232.95,$231.33
12/23/2025,$232.14,29230200,$229.06,$232.45,$228.73
12/22/2025,$228.43,32261300,$228.61,$229.48,$226.71
12/19/2025,$227.35,85544400,$226.76,$229.13,$225.58
12/18/2025,$226.76,50272400,$225.71,$229.23,$224.41
12/17/2025,$221.27,44034400,$224.66,$225.19,$220.99
12/16/2025,$222.56,39298900,$223.04,$223.66,$221.13
12/15/2025,$222.54,47286100,$227.93,$227.93,$221.50
12/12/2025,$226.19,35639100,$229.87,$230.08,$225.12
12/11/2025,$230.28,28249600,$230.71,$232.11,$228.69
12/10/2025,$231.78,38790700,$228.81,$232.42,$228.46
12/09/2025,$227.92,25841700,$226.84,$228.57,$225.11
12/08/2025,$226.89,35019200,$229.59,$230.83,$226.27
12/05/2025,$229.53,33117400,$230.32,$231.24,$228.55
12/04/2025,$229.11,45683200,$232.77,$233.50,$226.80
12/03/2025,$232.38,35495100,$233.35,$233.38,$230.61
12/02/2025,$234.42,45785400,$235.01,$238.97,$233.55
12/01/2025,$233.88,42904000,$233.22,$235.80,$232.25
11/28/2025,$233.22,20292300,$231.24,$233.29,$230.22
11/26/2025,$229.16,38497900,$230.74,$231.75,$228.77
11/25/2025,$229.67,39379300,$226.38,$230.52,$223.80
11/24/2025,$226.28,54318400,$222.56,$227.33,$222.27
11/21/2025,$220.69,68490500,$216.35,$222.21,$215.18
11/20/2025,$217.14,50309000,$227.05,$227.41,$216.74
11/19/2025,$222.69,58335600,$223.74,$223.74,$218.52
11/18/2025,$222.55,60608400,$228.10,$230.20,$222.42
11/17/2025,$232.87,59919000,$233.25,$234.60,$229.19
11/14/2025,$234.69,38956700,$235.06,$238.73,$232.89
11/13/2025,$237.58,41401700,$243.05,$243.75,$236.50
11/12/2025,$244.20,31190100,$250.24,$250.37,$243.75
11/11/2025,$249.10,23564100,$248.41,$249.75,$247.23
11/10/2025,$248.40,36476500,$248.34,$251.75,$245.59
11/07/2025,$244.41,46374300,$242.90,$244.90,$238.49
11/06/2025,$243.04,46004200,$249.16,$250.38,$242.17
11/05/2025,$250.20,40610700,$249.03,$251.00,$246.16
11/04/2025,$249.32,51546300,$250.38,$257.01,$248.66
11/03/2025,$254.00,95997800,$255.36,$258.60,$252.90
10/31/2025,$244.22,166340800,$250.10,$250.50,$243.98
10/30/2025,$222.86,102252900,$227.06,$228.44,$222.75
10/29/2025,$230.30,52036200,$231.67,$232.82,$227.76
10/28/2025,$229.25,47100000,$228.22,$231.49,$226.21
10/27/2025,$226.97,38267000,$227.66,$228.40,$225.54
10/24/2025,$224.21,38685100,$221.97,$225.40,$221.90
10/23/2025,$221.09,31540000,$219.00,$221.30,$218.18
10/22/2025,$217.95,44308500,$219.30,$220.01,$216.52
10/21/2025,$222.03,50494600,$218.43,$223.32,$217.99
10/20/2025,$216.48,38882800,$213.88,$216.69,$213.59
10/17/2025,$213.04,45986900,$214.56,$214.80,$211.03
10/16/2025,$214.47,42414600,$215.67,$218.59,$212.81
10/15/2025,$215.57,45909500,$216.62,$217.71,$212.66
10/14/2025,$216.39,45665600,$215.56,$219.32,$212.60
10/13/2025,$220.07,37809700,$217.70,$220.68,$217.04
10/10/2025,$216.37,72367500,$226.21,$228.25,$216.00
10/09/2025,$227.74,46412100,$225.00,$228.21,$221.75
10/08/2025,$225.22,46686000,$222.92,$226.73,$221.19
10/07/2025,$221.78,31194700,$220.88,$222.89,$220.17
10/06/2025,$220.90,43690900,$221.00,$221.73,$216.03
10/03/2025,$219.51,43639000,$223.44,$224.20,$219.34
10/02/2025,$222.41,41258600,$221.01,$222.81,$218.95
10/01/2025,$220.63,43933800,$217.36,$222.15,$216.61
09/30/2025,$219.57,48396400,$222.03,$222.24,$217.89
09/29/2025,$222.17,44259200,$220.08,$222.60,$219.30
09/26/2025,$219.78,41650100,$219.08,$221.05,$218.02
09/25/2025,$218.15,52226300,$220.06,$220.67,$216.47
09/24/2025,$220.21,49509000,$224.15,$224.56,$219.45
09/23/2025,$220.71,70956200,$227.83,$227.86,$220.07
09/22/2025,$227.63,45914500,$230.56,$230.57,$227.51
09/19/2025,$231.48,97943200,$232.37,$234.16,$229.70
09/18/2025,$231.23,37931700,$232.50,$233.48,$228.79
09/17/2025,$231.62,42815200,$233.77,$234.30,$228.71
09/16/2025,$234.05,38203900,$232.94,$235.90,$232.23
09/15/2025,$231.43,33243300,$230.63,$233.73,$230.32
09/12/2025,$228.15,38496200,$230.35,$230.79,$226.29
09/11/2025,$229.95,37485600,$231.49,$231.53,$229.34
09/10/2025,$230.33,60907700,$237.52,$237.68,$229.10
09/09/2025,$238.24,27033800,$236.36,$238.85,$235.08
09/08/2025,$235.84,33947100,$234.94,$237.60,$233.75
09/05/2025,$232.33,36721800,$235.19,$236.00,$231.93
09/04/2025,$235.68,59391800,$231.19,$235.77,$230.78
09/03/2025,$225.99,29223100,$225.21,$227.17,$224.36
09/02/2025,$225.34,38843900,$223.52,$226.17,$221.83
08/29/2025,$229.00,26199200,$231.32,$231.81,$228.16
08/28/2025,$231.60,33679600,$229.01,$232.71,$228.02
08/27/2025,$229.12,21254500,$228.57,$229.87,$227.81
08/26/2025,$228.71,26105400,$227.11,$229.00,$226.02
08/25/2025,$227.94,22633700,$227.35,$229.60,$227.31
08/22/2025,$228.84,37315300,$222.79,$229.14,$220.82
08/21/2025,$221.95,32140500,$222.65,$222.78,$220.50
08/20/2025,$223.81,36604300,$227.12,$227.27,$220.92
08/19/2025,$228.01,29891000,$230.09,$230.53,$227.12
08/18/2025,$231.49,25248900,$230.23,$231.91,$228.33
08/15/2025,$231.03,39649200,$232.58,$234.08,$229.81
08/14/2025,$230.98,61545800,$227.40,$233.11,$227.02
08/13/2025,$224.56,36508300,$222.00,$224.92,$222.00
08/12/2025,$221.47,37185800,$222.23,$223.50,$219.05
08/11/2025,$221.30,31646200,$221.78,$223.05,$220.40
08/08/2025,$222.69,32970500,$223.14,$223.80,$221.88
08/07/2025,$223.13,40603500,$221.00,$226.22,$220.82
08/06/2025,$222.31,54823000,$214.70,$222.65,$213.74
08/05/2025,$213.75,51505100,$213.05,$216.30,$212.87
08/04/2025,$211.65,77890100,$217.40,$217.44,$211.42
08/01/2025,$214.75,122258800,$217.21,$220.44,$212.80
07/31/2025,$234.11,104357300,$235.77,$236.53,$231.40
07/30/2025,$230.19,32993300,$231.64,$231.80,$229.29
07/29/2025,$231.01,33716200,$234.15,$234.72,$230.31
07/28/2025,$232.79,26300100,$233.35,$234.29,$232.25
07/25/2025,$231.44,28712100,$232.22,$232.48,$231.18
07/24/2025,$232.23,42902300,$229.17,$236.00,$228.64
07/23/2025,$228.29,28294900,$228.47,$228.79,$227.09
07/22/2025,$227.47,37483700,$229.68,$230.00,$226.35
07/21/2025,$229.30,40297600,$225.84,$229.69,$225.65
07/18/2025,$226.13,37833800,$225.14,$226.40,$222.98
07/17/2025,$223.88,31855800,$223.32,$224.50,$222.51
07/16/2025,$223.19,39535900,$225.88,$226.10,$222.18
07/15/2025,$226.35,34907300,$226.20,$227.27,$225.46
07/14/2025,$225.69,35702600,$225.07,$226.66,$224.24
07/11/2025,$225.02,50518300,$223.58,$226.68,$222.37
07/10/2025,$222.26,30370600,$221.55,$222.79,$219.70
07/09/2025,$222.54,38155100,$221.07,$224.29,$220.47
07/08/2025,$219.36,45692000,$223.92,$224.00,$218.43
07/07/2025,$223.47,36604100,$223.00,$224.29,$222.37
07/03/2025,$223.41,29632400,$221.82,$224.01,$221.36
07/02/2025,$219.92,30894200,$219.73,$221.60,$219.06
07/01/2025,$220.46,39256800,$219.50,$221.88,$217.93
