Date,Close,Volume,Open,High,Low
01/02/2026,$75.82,6313280,$76.70,$76.95,$75.61 
12/31/2025,$77.03,13570500,$77.34,$77.82,$76.88 
12/30/2025,$77.41,13952200,$77.81,$77.81,$77.17 
12/29/2025,$77.79,17941800,$78.03,$78.30,$77.52 
12/26/2025,$78.16,10158000,$78.10,$78.28,$77.93 
12/24/2025,$78.02,9104400,$78.02,$78.29,$77.85 
12/23/2025,$78.02,16712600,$77.61,$78.12,$77.59 
12/22/2025,$78.11,18016100,$79.02,$79.15,$77.96 
12/19/2025,$78.42,84881900,$76.97,$79.17,$76.79 
12/18/2025,$76.95,19249400,$76.33,$77.81,$76.26 
12/17/2025,$76.00,26094400,$77.90,$78.20,$75.92 
12/16/2025,$77.55,17737200,$78.11,$78.61,$77.38 
12/15/2025,$78.25,17646000,$78.21,$78.71,$77.54 
12/12/2025,$77.80,16672300,$79.46,$79.56,$77.72 
12/11/2025,$79.27,18652300,$80.24,$80.37,$78.83 
12/10/2025,$80.25,21302700,$78.83,$80.82,$78.80 
12/09/2025,$79.51,15737500,$78.79,$79.88,$78.51 
12/08/2025,$78.86,17454500,$78.21,$79.38,$78.12 
12/05/2025,$77.97,12579400,$77.97,$78.19,$77.40 
12/04/2025,$77.76,12572600,$77.69,$77.86,$77.17 
12/03/2025,$77.75,16088400,$76.59,$77.82,$75.65 
12/02/2025,$76.87,14619100,$76.16,$77.00,$75.76 
12/01/2025,$76.04,15529600,$76.67,$76.82,$75.93 
11/28/2025,$76.94,7320900,$76.14,$76.96,$75.81 
11/26/2025,$76.07,15972600,$76.46,$76.60,$75.34 
11/25/2025,$76.32,18818800,$76.49,$77.06,$76.08 
11/24/2025,$76.24,26691500,$76.49,$76.88,$75.68 
11/21/2025,$76.10,24428800,$75.64,$76.94,$75.47 
11/20/2025,$75.44,27381900,$79.12,$80.06,$75.32 
11/19/2025,$78.39,24759700,$77.30,$78.93,$77.16 
11/18/2025,$77.37,26025500,$77.55,$78.20,$76.45 
11/17/2025,$77.78,28720100,$77.89,$79.39,$77.47 
11/14/2025,$78.00,38819600,$76.58,$78.67,$75.84 
11/13/2025,$77.38,57638500,$77.95,$79.50,$76.65 
11/12/2025,$73.96,57591600,$71.91,$74.21,$71.72 
11/11/2025,$71.71,21412900,$71.74,$72.25,$71.10 
11/10/2025,$72.09,22201200,$71.76,$72.50,$71.15 
11/07/2025,$71.07,16913700,$71.39,$71.59,$70.54 
11/06/2025,$71.04,16469900,$71.71,$72.23,$70.69 
11/05/2025,$72.10,16113500,$72.22,$72.58,$71.34 
11/04/2025,$72.32,22345000,$73.90,$73.99,$71.98 
11/03/2025,$74.45,21733400,$74.61,$74.84,$73.62 
10/31/2025,$73.11,24008000,$72.72,$73.48,$72.43 
10/30/2025,$72.91,18101800,$71.37,$73.11,$71.34 
10/29/2025,$71.33,18020600,$72.68,$72.82,$70.92 
10/28/2025,$72.62,19896800,$71.20,$72.68,$71.03 
10/27/2025,$71.39,15986800,$70.54,$71.46,$70.43 
10/24/2025,$70.63,13075600,$70.64,$70.94,$70.06 
10/23/2025,$70.27,14614100,$70.60,$71.24,$70.23 
10/22/2025,$70.66,14967200,$70.86,$70.97,$69.85 
10/21/2025,$70.72,15763300,$70.58,$71.24,$70.38 
10/20/2025,$70.65,12183500,$70.12,$70.97,$70.12 
10/17/2025,$70.13,16286900,$69.06,$70.77,$68.95 
10/16/2025,$69.09,13950600,$69.78,$70.07,$68.57 
10/15/2025,$69.52,16260500,$69.31,$70.30,$68.82 
10/14/2025,$68.66,15402000,$67.11,$69.16,$66.81 
10/13/2025,$67.46,14127900,$68.55,$68.89,$67.13 
10/10/2025,$67.94,20961500,$70.41,$70.81,$67.89 
10/09/2025,$69.96,21209500,$70.31,$70.62,$69.03 
10/08/2025,$70.33,34246300,$69.81,$70.76,$69.00 
10/07/2025,$68.99,16493200,$68.92,$69.22,$68.44 
10/06/2025,$68.91,21952700,$68.44,$68.95,$67.81 
10/03/2025,$67.92,11113200,$67.95,$68.58,$67.65 
10/02/2025,$68.31,15708300,$69.18,$69.49,$68.26 
10/01/2025,$68.75,15530700,$67.90,$68.82,$67.69 
09/30/2025,$68.42,20498900,$67.71,$68.77,$67.69 
09/29/2025,$67.72,14358300,$67.72,$67.95,$67.44 
09/26/2025,$67.22,15077400,$67.87,$67.91,$66.85 
09/25/2025,$67.85,22351700,$67.32,$68.24,$67.11 
09/24/2025,$67.32,17433100,$67.70,$67.86,$66.89 
09/23/2025,$67.54,22240000,$67.58,$68.22,$67.07 
09/22/2025,$67.75,20396700,$67.86,$68.00,$67.30 
09/19/2025,$68.21,47822500,$68.92,$68.92,$67.18 
09/18/2025,$68.68,20279000,$67.90,$68.76,$67.48 
09/17/2025,$67.72,18652100,$67.00,$67.88,$66.38 
09/16/2025,$66.93,18019300,$67.02,$67.38,$66.55 
09/15/2025,$67.02,16203100,$66.51,$67.20,$66.35 
09/12/2025,$66.53,18529200,$66.88,$67.34,$66.13 
09/11/2025,$67.69,17560800,$68.31,$68.57,$67.51 
09/10/2025,$68.13,14689500,$67.59,$68.32,$67.12 
09/09/2025,$67.34,11649400,$66.74,$67.44,$66.64 
09/08/2025,$66.88,14038000,$66.72,$67.01,$66.35 
09/05/2025,$66.90,21050800,$67.72,$68.10,$66.48 
09/04/2025,$67.99,14388500,$68.10,$68.41,$67.41 
09/03/2025,$67.67,14320100,$68.05,$68.13,$67.33 
09/02/2025,$67.80,18928800,$68.11,$68.32,$67.38 
08/29/2025,$69.09,14953000,$69.11,$69.46,$68.83 
08/28/2025,$69.43,15256000,$68.36,$69.58,$68.35 
08/27/2025,$68.44,13876700,$68.32,$68.75,$68.15 
08/26/2025,$68.39,28307900,$67.17,$68.75,$67.11 
08/25/2025,$67.14,11724500,$67.28,$67.50,$67.11 
08/22/2025,$67.32,16830600,$67.33,$68.04,$67.01 
08/21/2025,$67.02,12456600,$67.10,$67.22,$66.47 
08/20/2025,$67.11,14946400,$66.82,$67.19,$66.54 
08/19/2025,$66.76,18746600,$66.76,$67.52,$66.48 
08/18/2025,$66.95,20903400,$66.08,$67.11,$65.75 
08/15/2025,$66.20,40877300,$68.45,$68.65,$65.86 
