Date,Close,Volume,Open,High,Low
01/02/2026,$652.84,9581710,$662.72,$664.39,$643.50
12/31/2025,$660.09,7940400,$664.75,$665.00,$659.44
12/30/2025,$665.95,9187500,$658.69,$672.22,$657.84
12/29/2025,$658.69,8506500,$658.01,$660.25,$654.39
12/26/2025,$663.29,7133800,$668.06,$668.95,$661.32
12/24/2025,$667.55,5627500,$662.53,$668.18,$662.20
12/23/2025,$664.94,8486800,$660.05,$666.00,$658.25
12/22/2025,$661.50,15659400,$661.65,$673.58,$656.65
12/19/2025,$658.77,49977100,$666.42,$671.00,$658.18
12/18/2025,$664.45,20260300,$657.03,$670.56,$656.46
12/17/2025,$649.50,15598500,$655.61,$661.23,$649.20
12/16/2025,$657.15,14309100,$643.50,$662.54,$643.20
12/15/2025,$647.51,15549100,$645.70,$653.00,$638.70
12/12/2025,$644.23,14016900,$649.80,$711.00,$638.61
12/11/2025,$652.71,13056700,$643.29,$655.28,$640.80
12/10/2025,$650.13,16910900,$649.95,$654.51,$643.40
12/09/2025,$656.96,12997100,$663.77,$664.48,$653.34
12/08/2025,$666.80,13161000,$669.34,$676.71,$665.07
12/05/2025,$673.42,21207900,$664.00,$674.69,$662.39
12/04/2025,$661.53,29874600,$676.00,$676.10,$660.05
12/03/2025,$639.60,11134300,$644.41,$648.85,$637.55
12/02/2025,$647.10,11640900,$642.34,$647.87,$638.07
12/01/2025,$640.87,13029900,$639.55,$645.32,$637.76
11/28/2025,$647.95,11033200,$636.08,$648.05,$635.50
11/26/2025,$633.61,15209500,$637.69,$638.36,$631.63
11/25/2025,$636.22,25213000,$624.00,$637.05,$618.30
11/24/2025,$613.05,23554900,$598.72,$616.70,$597.63
11/21/2025,$594.25,21052600,$588.50,$598.12,$581.86
11/20/2025,$589.15,20603000,$603.50,$606.72,$583.35
11/19/2025,$590.32,24744700,$593.72,$595.33,$581.25
11/18/2025,$597.69,25500600,$591.60,$603.66,$583.78
11/17/2025,$602.01,16501300,$609.04,$611.69,$595.40
11/14/2025,$609.46,20724100,$601.79,$613.68,$595.20
11/13/2025,$609.89,20973800,$613.07,$617.65,$603.00
11/12/2025,$609.01,24493300,$628.13,$628.99,$607.77
11/11/2025,$627.08,13302200,$628.00,$629.56,$619.39
11/10/2025,$631.76,19245000,$631.09,$635.00,$618.11
11/07/2025,$621.71,29946800,$616.49,$622.13,$601.20
11/06/2025,$618.94,23628800,$635.85,$636.00,$618.00
11/05/2025,$635.95,20219900,$632.31,$642.23,$626.54
11/04/2025,$627.32,27356600,$628.04,$641.74,$626.01
11/03/2025,$637.71,33003600,$656.00,$659.33,$636.18
10/31/2025,$648.35,56953200,$674.51,$674.89,$645.57
10/30/2025,$666.47,88440100,$669.15,$680.96,$650.17
10/29/2025,$751.67,26818600,$754.75,$759.16,$742.51
10/28/2025,$751.44,12193800,$752.63,$758.40,$745.52
10/27/2025,$750.82,11321100,$749.73,$755.75,$748.01
10/24/2025,$738.36,9151300,$736.79,$741.21,$731.15
10/23/2025,$734.00,9856000,$734.70,$742.41,$733.10
10/22/2025,$733.41,8734500,$733.83,$740.60,$724.03
10/21/2025,$733.27,7647300,$736.02,$738.50,$728.75
10/20/2025,$732.17,8900200,$721.19,$733.77,$720.18
10/17/2025,$716.92,12232400,$707.08,$718.54,$706.12
10/16/2025,$712.07,9017000,$717.55,$725.49,$703.88
10/15/2025,$717.55,10246800,$717.06,$723.90,$709.51
10/14/2025,$708.65,8829800,$707.78,$715.55,$699.33
10/13/2025,$715.70,9251800,$713.01,$719.94,$707.64
10/10/2025,$705.30,16980100,$730.92,$735.27,$704.51
10/09/2025,$733.51,12717200,$718.28,$733.51,$712.44
10/08/2025,$717.84,10790600,$713.45,$719.65,$707.81
10/07/2025,$713.08,12062900,$717.72,$718.50,$705.75
10/06/2025,$715.66,21654700,$705.19,$716.88,$690.51
10/03/2025,$710.56,16154300,$729.63,$731.00,$710.18
10/02/2025,$727.05,11415300,$722.58,$727.77,$718.14
10/01/2025,$717.34,20419600,$721.49,$721.85,$710.20
09/30/2025,$734.38,16226800,$742.25,$742.97,$726.30
09/29/2025,$743.40,9246800,$748.72,$750.78,$739.15
09/26/2025,$743.75,9696300,$750.00,$751.93,$737.35
09/25/2025,$748.91,10591100,$753.45,$756.77,$744.55
09/24/2025,$760.66,8828200,$757.50,$761.11,$752.53
09/23/2025,$755.40,10872600,$769.25,$770.60,$751.07
09/22/2025,$765.16,11706900,$781.85,$785.73,$764.47
09/19/2025,$778.38,23696800,$786.42,$790.80,$769.19
09/18/2025,$780.25,10955000,$780.75,$788.78,$773.36
09/17/2025,$775.72,9400900,$779.99,$783.29,$766.31
09/16/2025,$779.00,11782500,$767.00,$781.36,$765.10
09/15/2025,$764.70,10533800,$757.47,$774.07,$751.99
09/12/2025,$755.59,8248600,$748.73,$757.57,$743.76
09/11/2025,$750.90,7923300,$754.65,$757.10,$748.37
09/10/2025,$751.98,12478300,$765.13,$765.70,$751.00
09/09/2025,$765.70,10999000,$757.49,$766.30,$753.43
09/08/2025,$752.30,13087800,$756.00,$766.51,$752.02
09/05/2025,$752.45,9663400,$752.62,$757.95,$745.03
09/04/2025,$748.65,11439100,$748.57,$761.16,$745.82
09/03/2025,$737.05,7699300,$736.00,$740.25,$733.99
09/02/2025,$735.11,9350900,$726.04,$736.00,$721.73
08/29/2025,$738.70,9070500,$745.28,$747.14,$735.35
08/28/2025,$751.11,7468000,$744.00,$753.05,$740.80
08/27/2025,$747.38,8315400,$752.30,$754.15,$742.84
08/26/2025,$754.10,7601800,$750.80,$754.87,$747.94
