Date,Close,Volume,Open,High,Low
01/02/2026,$472.45,13230072,$484.39,$484.66,$472.08 
12/31/2025,$483.62,15601600,$487.84,$488.14,$483.30 
12/30/2025,$487.48,13944500,$485.93,$489.68,$485.50 
12/29/2025,$487.10,10893400,$484.86,$488.35,$484.18 
12/26/2025,$487.71,8842200,$486.71,$488.12,$485.96 
12/24/2025,$488.02,5855900,$485.68,$489.16,$484.83 
12/23/2025,$486.85,14683600,$484.98,$487.83,$484.74 
12/22/2025,$484.92,16963000,$486.12,$488.73,$482.69 
12/19/2025,$485.92,70836100,$487.36,$487.85,$482.49 
12/18/2025,$483.98,28573500,$478.19,$489.60,$477.89 
12/17/2025,$476.12,24527200,$476.91,$480.00,$475.00 
12/16/2025,$476.39,20705600,$471.91,$477.89,$470.88 
12/15/2025,$474.82,23727700,$480.10,$480.72,$472.52 
12/12/2025,$478.53,21248100,$479.82,$482.45,$476.34 
12/11/2025,$483.47,24669200,$476.63,$486.03,$475.86 
12/10/2025,$478.56,35756200,$484.03,$484.25,$475.08 
12/09/2025,$492.02,14696100,$489.10,$492.12,$488.50 
12/08/2025,$491.02,21965900,$484.89,$492.30,$484.38 
12/05/2025,$483.16,22608700,$482.52,$483.40,$478.88 
12/04/2025,$480.84,22318200,$479.76,$481.32,$476.49 
12/03/2025,$477.73,34615100,$476.32,$484.24,$475.20 
12/02/2025,$490.00,19562700,$486.72,$493.50,$486.32 
12/01/2025,$486.74,23964000,$488.44,$489.86,$484.65 
11/28/2025,$492.01,14386700,$487.60,$492.63,$486.65 
11/26/2025,$485.50,25709100,$486.31,$488.31,$481.20 
11/25/2025,$476.99,28019800,$474.07,$479.15,$464.89 
11/24/2025,$474.00,34421000,$475.00,$476.90,$468.02 
11/21/2025,$472.12,31769200,$478.50,$478.92,$468.27 
11/20/2025,$478.43,26802500,$492.71,$493.57,$475.50 
11/19/2025,$487.12,23245300,$490.10,$495.19,$482.83 
11/18/2025,$493.79,33815100,$495.37,$502.98,$486.78 
11/17/2025,$507.49,19092800,$508.45,$512.12,$504.91 
