Date,Close,Volume,Open,High,Low
01/02/2026,$91.36,27140438,$94.13,$94.13,$90.82
12/31/2025,$93.76,23495200,$93.60,$94.31,$93.20
12/30/2025,$93.78,23422000,$93.52,$93.99,$93.34
12/29/2025,$94.15,24493700,$93.99,$94.97,$93.63
12/26/2025,$94.47,22068300,$93.48,$94.69,$93.27
12/24/2025,$93.64,12427900,$93.11,$93.68,$92.67
12/23/2025,$93.50,25896200,$93.40,$93.81,$91.33
12/22/2025,$93.23,39484800,$94.71,$94.71,$92.91
12/19/2025,$94.39,78990200,$93.57,$95.54,$93.45
12/18/2025,$94.00,37244700,$95.02,$95.81,$93.59
12/17/2025,$94.79,50472800,$95.98,$97.33,$94.46
12/16/2025,$94.57,34265000,$93.88,$94.93,$93.32
12/15/2025,$93.77,40016500,$96.02,$96.37,$93.53
12/12/2025,$95.19,49323100,$95.50,$96.92,$94.65
12/11/2025,$94.09,43949000,$93.90,$94.82,$92.76
12/10/2025,$92.71,74129300,$96.74,$96.97,$92.35
12/09/2025,$96.71,51745600,$97.03,$97.24,$95.45
12/08/2025,$96.79,100906300,$99.87,$99.89,$95.30
12/05/2025,$100.24,133363600,$98.78,$104.79,$97.74
12/04/2025,$103.22,51779100,$103.57,$103.80,$101.77
12/03/2025,$103.96,53593400,$106.59,$106.87,$102.03
12/02/2025,$109.35,25763000,$109.21,$109.73,$107.52
12/01/2025,$109.13,24873400,$106.51,$109.34,$106.31
11/28/2025,$107.58,15021600,$106.44,$107.94,$106.24
11/26/2025,$106.14,27951000,$105.74,$106.95,$105.22
11/25/2025,$104.40,35122600,$106.12,$106.30,$103.82
11/24/2025,$106.97,62918300,$104.25,$108.04,$103.32
11/21/2025,$104.31,41232700,$105.13,$106.53,$103.81
11/20/2025,$105.67,36918500,$111.00,$111.10,$105.39
11/19/2025,$110.00,31868100,$113.00,$113.34,$108.61
11/18/2025,$114.09,43440600,$110.29,$115.25,$109.20
11/17/2025,$110.29,26082700,$110.75,$111.85,$109.55
11/14/2025,$111.22,47607000,$114.27,$114.27,$110.72
11/13/2025,$115.42,40144000,$115.85,$116.73,$114.57
11/12/2025,$115.75,39221000,$113.82,$116.43,$112.83
11/11/2025,$113.64,27966000,$111.76,$113.92,$111.28
11/10/2025,$112.01,36929000,$110.67,$112.82,$110.40
11/07/2025,$110.37,44125000,$109.42,$110.82,$108.75
11/06/2025,$109.70,36532000,$109.46,$110.37,$108.51
11/05/2025,$109.85,35539000,$108.50,$110.08,$107.34
11/04/2025,$109.30,38718000,$110.00,$110.46,$108.67
11/03/2025,$110.01,58634000,$113.32,$113.35,$107.51
10/31/2025,$111.89,68665000,$110.54,$113.49,$110.20
10/30/2025,$108.90,41581000,$109.44,$110.62,$108.81
10/29/2025,$110.04,33995000,$109.98,$110.86,$109.60
10/28/2025,$110.25,40209000,$109.40,$111.70,$109.30
10/27/2025,$109.46,46911000,$110.07,$110.23,$108.73
10/24/2025,$109.47,60280000,$111.10,$111.45,$109.44
10/23/2025,$111.36,68497000,$112.69,$112.78,$109.97
10/22/2025,$111.64,147890000,$114.29,$115.76,$111.25
