Date,Close,Volume,Open,High,Low
01/02/2026,$173.59,2957900,$173.80,$174.68,$172.20
12/31/2025,$171.05,4682600,$173.61,$173.78,$171.01
12/30/2025,$173.65,3429300,$174.06,$174.40,$173.34
12/29/2025,$173.43,3978400,$174.01,$175.19,$172.79
12/26/2025,$174.81,2442800,$175.00,$175.50,$174.35
12/24/2025,$174.77,1645300,$175.04,$175.49,$174.42
12/23/2025,$174.75,4690400,$173.61,$175.27,$173.51
12/22/2025,$174.22,6422100,$177.56,$178.32,$173.90
12/19/2025,$175.25,25223500,$174.44,$177.19,$174.20
12/18/2025,$174.19,8967500,$175.71,$177.08,$173.53
12/17/2025,$172.34,8501900,$176.12,$177.48,$172.05
12/16/2025,$176.12,7136000,$179.19,$179.19,$174.81
12/15/2025,$179.26,6954700,$179.72,$180.31,$176.39
12/12/2025,$178.29,8865800,$181.25,$183.11,$177.87
12/11/2025,$181.27,6319200,$181.37,$181.64,$178.09
12/10/2025,$182.21,11100100,$175.81,$183.44,$175.25
12/09/2025,$176.00,7719100,$174.50,$176.35,$172.32
12/08/2025,$175.31,6690200,$174.74,$175.50,$173.72
12/05/2025,$174.81,8400100,$174.74,$177.25,$174.50
12/04/2025,$174.35,7245000,$174.33,$174.93,$173.23
12/03/2025,$175.07,7624300,$170.90,$175.09,$170.35
12/02/2025,$170.70,9159100,$168.75,$171.17,$167.64
12/01/2025,$168.04,6818300,$165.91,$169.03,$165.50
11/28/2025,$168.09,5068800,$165.03,$168.19,$164.13
11/26/2025,$165.14,7967700,$164.12,$166.25,$163.15
11/25/2025,$163.30,7758100,$163.99,$164.97,$161.87
11/24/2025,$165.06,12070100,$164.37,$166.94,$163.72
11/21/2025,$163.30,10815000,$160.75,$165.27,$159.10
11/20/2025,$159.59,12075400,$167.13,$168.88,$158.85
11/19/2025,$166.11,8176500,$164.69,$167.51,$164.11
11/18/2025,$165.06,11073200,$164.89,$166.79,$161.39
11/17/2025,$166.75,10211100,$172.80,$174.84,$165.17
11/14/2025,$173.98,7949900,$171.78,$175.69,$171.40
11/13/2025,$174.50,9526100,$176.63,$178.83,$173.03
11/12/2025,$176.67,8785800,$175.00,$177.42,$174.88
11/11/2025,$173.98,8419100,$171.00,$175.98,$171.00
11/10/2025,$171.57,10129300,$173.76,$174.80,$169.50
11/07/2025,$170.89,10614700,$172.73,$174.25,$168.25
11/06/2025,$173.20,16184700,$177.80,$178.51,$170.06
11/05/2025,$179.72,18845500,$174.76,$183.43,$174.32
11/04/2025,$172.84,12323600,$177.48,$179.34,$172.29
11/03/2025,$180.72,8535100,$182.95,$183.45,$179.09
10/31/2025,$180.90,9452800,$178.52,$182.15,$176.83
10/30/2025,$177.26,7862900,$178.68,$179.88,$177.19
