Date,Close,Volume,Open,High,Low
01/02/2026,$84.68,6539257,$84.22,$84.96,$83.02
12/31/2025,$84.21,5293400,$85.11,$85.18,$84.12
12/30/2025,$85.25,4540500,$85.24,$85.75,$85.05
12/29/2025,$85.57,5352400,$85.12,$86.79,$84.98
12/26/2025,$85.08,5046200,$84.58,$85.16,$84.42
12/24/2025,$84.57,3462700,$83.84,$84.62,$83.47
12/23/2025,$83.86,9511300,$86.02,$86.14,$83.38
12/22/2025,$86.17,7161600,$88.16,$88.62,$86.04
12/19/2025,$88.33,16986700,$89.22,$89.26,$88.25
12/18/2025,$89.42,16466100,$87.69,$90.58,$87.30
12/17/2025,$85.21,7947000,$84.57,$85.83,$84.50
12/16/2025,$85.08,7481400,$85.64,$86.54,$84.72
12/15/2025,$85.40,11718600,$86.00,$87.56,$84.66
12/12/2025,$85.35,9071500,$85.11,$85.93,$84.86
12/11/2025,$84.74,6894000,$84.22,$85.00,$83.74
12/10/2025,$83.85,10539600,$82.21,$84.00,$81.97
12/09/2025,$82.28,10322900,$83.32,$83.33,$82.02
12/08/2025,$83.41,10277600,$85.13,$85.50,$83.14
12/05/2025,$85.12,9402900,$84.91,$86.51,$84.80
12/04/2025,$85.00,10555100,$87.30,$87.87,$84.75
12/03/2025,$87.11,9303900,$85.03,$87.50,$84.97
12/02/2025,$85.20,9001900,$85.03,$86.00,$84.22
12/01/2025,$84.91,8752100,$86.21,$86.50,$84.77
11/28/2025,$87.11,3677600,$87.03,$87.28,$86.40
11/26/2025,$86.70,7602600,$85.50,$87.29,$85.50
11/25/2025,$85.91,9265300,$82.83,$86.02,$82.82
11/24/2025,$83.34,10805800,$85.26,$85.59,$82.83
11/21/2025,$85.35,10227700,$82.52,$86.58,$82.52
11/20/2025,$82.62,8966300,$84.03,$85.23,$82.54
11/19/2025,$83.68,6195100,$83.26,$84.39,$83.03
11/18/2025,$83.33,7189400,$83.61,$83.84,$82.34
11/17/2025,$83.69,8547200,$85.19,$86.85,$83.45
11/14/2025,$84.78,13434600,$85.61,$86.50,$84.00
11/13/2025,$86.44,10507700,$86.76,$87.29,$86.19
11/12/2025,$87.26,11975800,$87.63,$89.06,$87.13
11/11/2025,$86.42,9575800,$84.98,$87.04,$84.90
11/10/2025,$84.60,10507600,$86.06,$86.15,$84.03
11/07/2025,$85.57,15009900,$82.34,$85.95,$81.76
11/06/2025,$82.22,10382800,$82.57,$83.85,$81.86
11/05/2025,$82.88,17996200,$79.60,$83.11,$79.04
11/04/2025,$79.60,17774600,$81.18,$81.20,$77.99
11/03/2025,$80.96,9525100,$80.93,$81.92,$80.60
10/31/2025,$80.87,13598000,$82.77,$82.78,$80.22
10/30/2025,$83.15,18337500,$82.23,$86.05,$81.25
10/29/2025,$84.17,13881700,$84.14,$84.89,$83.28
10/28/2025,$85.43,11545600,$86.90,$87.54,$85.31
10/27/2025,$87.22,7164600,$86.28,$87.44,$86.11
10/24/2025,$86.09,5844600,$86.10,$86.84,$85.86
10/23/2025,$85.44,4565500,$85.48,$85.90,$84.98
10/22/2025,$85.50,5286300,$85.76,$86.00,$84.90
10/21/2025,$85.90,8262500,$84.14,$86.51,$83.65
10/20/2025,$84.53,7679700,$85.69,$86.34,$84.43
