Date,Close,Volume,Open,High,Low
01/02/2026,$441.06,71947156,$457.78,$458.33,$435.30
12/31/2025,$449.72,49078000,$456.10,$456.55,$449.30
12/30/2025,$454.43,59238500,$461.09,$463.12,$453.83
12/29/2025,$459.64,66263000,$469.00,$469.40,$459.00
12/26/2025,$475.19,58780700,$485.23,$489.09,$473.82
12/24/2025,$485.40,41285400,$488.48,$490.90,$476.80
12/23/2025,$485.56,58223600,$489.40,$491.97,$482.84
12/22/2025,$488.73,86916100,$489.88,$498.83,$485.33
12/19/2025,$481.20,103305400,$488.12,$490.49,$474.72
12/18/2025,$483.37,95168400,$478.16,$490.86,$473.12
12/17/2025,$467.26,106490400,$488.22,$495.28,$466.20
12/16/2025,$489.88,107608100,$472.21,$491.50,$465.83
12/15/2025,$475.31,114542200,$469.44,$481.77,$467.66
12/12/2025,$458.96,95656700,$448.09,$463.01,$441.67
12/11/2025,$446.89,55979500,$448.95,$449.27,$440.33
12/10/2025,$451.45,63257500,$446.07,$456.88,$443.61
12/09/2025,$445.17,62367400,$437.54,$452.39,$435.70
12/08/2025,$439.58,69165800,$447.45,$449.75,$435.25
12/05/2025,$455.00,56427500,$453.03,$458.87,$451.66
12/04/2025,$454.53,71906500,$449.94,$454.63,$445.39
12/03/2025,$446.74,87483000,$432.10,$447.92,$431.11
12/02/2025,$429.24,69336600,$430.81,$436.80,$422.12
12/01/2025,$430.14,57463600,$425.32,$433.66,$425.29
11/28/2025,$430.17,36252900,$426.59,$432.93,$426.20
11/26/2025,$426.58,63463000,$423.95,$426.94,$416.89
11/25/2025,$419.40,71915600,$414.42,$420.48,$405.95
11/24/2025,$417.78,96806400,$402.17,$421.72,$401.09
11/21/2025,$391.09,100460600,$402.32,$402.80,$383.76
11/20/2025,$395.23,113548800,$414.63,$428.94,$394.74
11/19/2025,$403.99,72047700,$406.18,$411.78,$398.50
11/18/2025,$401.25,80688600,$405.38,$408.90,$393.71
11/17/2025,$408.92,102214300,$398.74,$423.96,$398.74
11/14/2025,$404.35,105506700,$386.30,$412.19,$382.78
11/13/2025,$401.99,118948000,$423.13,$424.50,$396.34
11/12/2025,$430.60,58513500,$442.15,$442.33,$426.56
11/11/2025,$439.62,60533200,$439.40,$442.49,$432.36
11/10/2025,$445.23,76515900,$439.60,$449.67,$433.36
11/07/2025,$429.52,103471500,$437.92,$439.36,$421.88
11/06/2025,$445.91,109622900,$461.96,$467.45,$435.09
11/05/2025,$462.07,85573000,$452.05,$466.33,$440.71
11/04/2025,$444.26,87756600,$454.46,$460.22,$443.60
11/03/2025,$468.37,84595200,$455.99,$474.07,$453.80
10/31/2025,$456.56,83135800,$446.75,$458.00,$443.69
10/30/2025,$440.10,72447900,$451.05,$455.06,$439.61
10/29/2025,$461.51,67983500,$462.50,$465.70,$452.65
10/28/2025,$460.55,80185700,$454.78,$467.00,$451.60
10/27/2025,$452.42,105867500,$439.98,$460.16,$438.69
10/24/2025,$433.72,94727800,$446.83,$451.68,$430.17
10/23/2025,$448.98,126709800,$420.00,$449.40,$413.90
10/22/2025,$438.97,84023500,$443.45,$445.54,$429.00
10/21/2025,$442.60,54412200,$445.76,$449.30,$442.05
10/20/2025,$447.43,63719000,$443.87,$449.80,$440.61
10/17/2025,$439.31,89331600,$425.50,$441.46,$423.60
10/16/2025,$428.75,77189900,$434.73,$439.35,$421.31
10/15/2025,$435.15,71558200,$434.90,$440.51,$426.33
10/14/2025,$429.24,72669400,$426.79,$434.20,$417.86
10/13/2025,$435.90,79552800,$423.53,$436.89,$419.70
10/10/2025,$413.49,112107900,$436.54,$443.13,$411.45
10/09/2025,$435.54,69339900,$431.81,$436.35,$426.18
10/08/2025,$438.69,71192100,$437.57,$441.33,$425.23
10/07/2025,$433.09,102296100,$447.82,$452.68,$432.45
10/06/2025,$453.25,85324900,$440.75,$453.55,$436.69
10/03/2025,$429.83,133188200,$443.29,$446.77,$416.58
10/02/2025,$436.00,137009000,$470.54,$470.75,$435.57
10/01/2025,$459.46,98122300,$443.80,$462.29,$440.75
09/30/2025,$444.72,74358000,$441.52,$445.00,$433.12
09/29/2025,$443.21,79491500,$444.35,$450.98,$439.50
09/26/2025,$440.40,101628200,$428.30,$440.47,$421.02
09/25/2025,$423.39,96746400,$435.24,$435.35,$419.08
09/24/2025,$442.79,93133600,$429.83,$444.21,$429.03
09/23/2025,$425.85,83422700,$439.88,$440.97,$423.72
09/22/2025,$434.21,97108800,$431.11,$444.98,$429.13
09/19/2025,$426.07,93131000,$421.82,$429.47,$421.72
09/18/2025,$416.85,90454500,$428.87,$432.22,$416.56
09/17/2025,$425.86,106133500,$415.75,$428.31,$409.67
09/16/2025,$421.62,104285700,$414.50,$423.25,$411.43
09/15/2025,$410.04,163823700,$423.13,$425.70,$402.43
09/12/2025,$395.94,168156400,$370.94,$396.69,$370.24
09/11/2025,$368.81,103756000,$350.17,$368.99,$347.60
09/10/2025,$347.79,72121700,$350.55,$356.33,$346.07
09/09/2025,$346.97,53816000,$348.44,$350.77,$343.82
09/08/2025,$346.40,75208300,$354.64,$358.44,$344.84
09/05/2025,$350.84,108989800,$348.00,$355.87,$344.68
09/04/2025,$338.53,60711000,$336.15,$338.89,$331.48
